gender,occupation,party,ep_date,name,bio
0,OTHER,,2015-06-08,BATES GILL,"Dr Bates Gill commenced as CEO of the US Studies Centre in October 2012 after a five year appointment as the Director of the Stockholm International Peace Research Institute. He previously led major research program at public policy think tanks in Washington, DC (Brookings Institution and Center for Strategic and International Studies) and in Monterey, California (Monterey Institute of International Studies).
In 2013 he received the Royal Order of the Commander of the Polar Star, the highest award bestowed upon foreigners by the Swedish monarch, for his contributions to Swedish interests. Bates has also served as a consultant to US companies, foundations, and government agencies, especially with regard to their policies in Asia.
Among his professional affiliations, Bates serves on the boards of China Matters (Sydney), the Rajaratnam School of International Studies (Singapore) and the China-Merck AIDS Partnership, and is a member of the Asia Society Policy Advisory Board (New York) and the Board of Advisors for the Shanghai Institute of International Studies. He is also a member of the Council on Foreign Relations (New York) and the International Institute of Strategic Studies (London), and is an Associate Fellow with the Americas Program of Chatham House (London).
He received his PhD in foreign affairs from the University of Virginia and was inducted to the The Johns Hopkins University Society of Scholars in 2007. In addition to his experience in the USA, has lived and worked for lengthy periods in France, Switzerland, Sweden and China."
1,POLITICIAN,LABOR,2009-10-08,BELINDA NEAL,"Belinda Neal, Labor MP for the NSW Central Coast seat of Robertson, is now in her second career as a federal politician. In 1994 she entered the Senate, leaving four years later to contest the seat of Robertson in the 1998 election.
On that occasion she lost, and it was not until 2007 that she finally achieved her aim when the ALP under Kevin Rudd turned the coalition out of office.
Belinda, born in Brisbane in 1963, gained a law degree from the University of Sydney. She and her husband, right-wing NSW Labor powerbroker John Della Bosca, wield considerable influence within the party and Belinda is regarded by colleagues as an uncompromising political operator renowned for her toughness.
In recent times she has needed it. In the past year Belinda has been plagued by the sort of controversy no politician wants. In 2008 she was required to apologise to Liberal MP Sophie Mirabella for suggesting her unborn child would be born a demon, and shortly after she and her husband were accused of threatening staff at Iguana JoeÌâåÕs restaurant in Gosford, the heart of her electorate. Earlier this year John Della Bosca resigned as NSW Health Minister when it was revealed he had been having an affair for several months. In the public furore that followed there were rumours that Belinda and her husband had split up, but she subsequently announced in an interview with the WomenÌâåÕs Weekly magazine, accompanied by a glamorous photo shoot, that she was standing by him.
Belinda is a significant contributor to the parliament, sitting on several important committees and chairing the communications committee. As a senator she was shadow minister for housing, local government, consumer affairs and status of women. She has also served on the Gosford City Council.
Belinda and John have lived in Woy Woy Bay for over 20 years and have raised their two sons on the Central Coast."
0,AUTHOR,,2014-11-17,BEN ELTON,"Ben Elton is an award winning novelist, playwright, television writer, screenwriter and lyricist. He is also a theatre, screen and TV director, a stand up comedian and a very occasional actor. He was born in Catford, south east London, on 3 May 1959, the youngest of four children. He read drama at Manchester University. 
Ben has written 14 major bestsellers, including
 and 
.
He has also written some of television's most popular and incisive comedies, including 
 and 
.
Ben also has a career in musical theatre, co-writing 
 with Andrew Lloyd Webber and then the rock musicals 
, with music by Queen, and 
 with music by Rod Stewart.
In 2007 Ben was awarded the Special Golden Rose dÌâåÕOr at the International Television Festival in Lucerne, Switzerland, for his lifetime contribution to the television arts.
He is married with three children and lives in Western Australia."
0,AUTHOR,,2012-03-19,BENJAMIN LAW,"Benjamin Law is a Brisbane-based freelance writer, who was once described by Andrew Bolt as ""a gay with comprehension issues"".
His first bookÌâåÑthe black comedy memoir 
 ÌâåÑ was shortlisted for Book of the Year at the Australian Book Industry Awards (ABIAs) in 2011. A French edition will be released this year. 
He is also a frequent contributor to 
 and 
, and has also written for 
, ABC's 
 and others. 
His essays have been anthologised in the Best Australian Essays twice, as well as 
 and 
.
Benjamin also holds a PhD in writing and cultural studies from the Queensland University of Technology, and is currently working on his second book: a collection of adventure journalism, focusing on queer people and issues in Asia, titled 
. It will be released later this year."
1,OTHER,,2011-04-11,BESS PRICE,"Bess Nungarrayi Price is a central Australian Aboriginal leader.
Bess Nungarrayi Price was born at Yuendumu in Central Australia. Her first language is Warlpiri.
Bess has a Bachelor of Applied Science in Aboriginal Community Management and Development from Curtin University.    
She has worked in a variety of fields including education and training, public administration, media, community development, interpreting, translating and language teaching and also has experience in small business management. Bess has served on numerous management committees and boards and has represented  Currently sits on the National body Violence against WomenÌâåÕs Advisory Council and chairÌâåÕs the Indigenous Affairs Advisory Council for the Northern Territory.
Bess and her husband Dave are partners at Jajirdi Consultants, working in cross cultural awareness training, community liaison and Warlpiri language services."
1,OTHER,,2009-03-19,BETTINA ARNDT,"Bettina Arndt is a sex therapist and social commentators.  
She was born in England and grew up in Canberra.   After completing her Bachelor of Science at Australian National University in 1971, she moved to Sydney where she trained as a clinical psychologist, specialising in sexual therapy. 
In 1973 Bettina joined the newly-launched Australian Forum magazine as a consultant, working part-time in Forum's Sydney-based sex counselling clinic. She was appointed Editor in 1974 and remained in the position until the publication closed in 1981 following the death of her husband and business partner Dennis Minogue.  During this time she also lectured medical students, doctors and other professionals about sexuality.  
Bettina then moved on to writing and talking about broader social issues, in particular the rapidly changing relationships between men and women. She has written for The Bulletin, Cleo, Mode and Women's Weekly.
In 1987, Bettina married American lawyer Warren Scott and moved to New York City. She lived in Manhattan for five years, and had two children, Taylor and Cameron. She also has a son, Jesse, from her previous marriage. Whilst living in the US, Bettina wrote a weekly newspaper column which was syndicated through The Age in Melbourne. 
She returned to Australia in late 1991. After a period writing for The Australian, she then became a feature writer other publications including The Sydney Morning Herald and The Age. 
Bettina has been invited onto government advisory committees.  In 2004, she was a member of the Child Support Ministerial Reference Group, and in 2000 she was a member of the Child Support Ministerial Reference Group.  
Her most recent book, The Sex Diaries:  Why women go off sex and other Bedroom battles, was published this year by Melbourne University Press."
1,OTHER,,2009-10-29,BETTINA ARNDT,"Bettina Arndt is a sex therapist and social commentator.
She was born in England and grew up in Canberra. After completing her Bachelor of Science at Australian National University in 1971, she moved to Sydney where she trained as a clinical psychologist, specialising in sexual therapy. 
In 1973 Bettina joined the newly-launched 
 magazine as a consultant, working part-time in Forum's Sydney-based sex counselling clinic. She was appointed Editor in 1974 and remained in the position until the publication closed in 1981 following the death of her husband and business partner Dennis Minogue. During this time she also lectured medical students, doctors and other professionals about sexuality.
Bettina then moved on to writing and talking about broader social issues, in particular the rapidly changing relationships between men and women. She has written for 
 and 
.
In 1987, Bettina married American lawyer Warren Scott and moved to New York City. She lived in Manhattan for five years, and had two children, Taylor and Cameron. She also has a son, Jesse, from her previous marriage. Whilst living in the US, Bettina wrote a weekly newspaper column which was syndicated through 
 in Melbourne. 
She returned to Australia in late 1991. After a period writing for 
, she then became a feature writer other publications including 
 and 
. 
Bettina has been invited onto government advisory committees. In 2004, she was a member of the Child Support Ministerial Reference Group, and in 2000 she was a member of the Child Support Ministerial Reference Group. 
Her most recent book, 
, was published this year by Melbourne University Press."
1,AUTHOR,,2014-06-09,BETTY CHURCHER,"Betty Churcher AO is one of Australia's most loved cultural commentators. A Fellow of the Australian Academy of the Humanities, she was director of the Art Gallery of Western Australia from 1987 to 1990 and of the National Gallery of Australia from 1990 to 1997. 
She has written several acclaimed books, including 
 and 
, has been art critic for 
 and has written and presented successful television art programs such as 
 and 
. 
Earlier in her life Betty was a painter and won a travelling scholarship to Europe, where she became an associate and graduate of the Royal College of Art, London and gained a Master of Arts from the Courtauld Institute of Art at the University of London. 
Betty has four sons and seven grandchildren and lives in sheep country in the Southern Tablelands of New South Wales."
0,OTHER,,2013-05-28,BILL GATES,"Bill Gates, co-founder of tech giant Microsoft, is once again the richest man in the world ÌâåÐ a title he has not held since 2007. The Bloomberg Billionaires Index restored him to the top spot earlier this month after a surge in the value of Microsoft shares. His fortune is estimated at $US72 billion.
In 1975, Bill left Harvard University before graduating to focus on Microsoft, the company he founded with his childhood friend Paul Allen. As chief software architect and chairman, Bill led the company to become the worldwide leader in business and personal software, services and solutions. On doing so he was at the forefront of a communications and technological revolution that transformed the world in which we live. In 2008 he stepped down as executive chairman of the company, but remained in an advisory role.
Bill and his wife Melinda are world leaders in the field of philanthropy. Bill began his major philanthropic efforts in 1994, creating the William H. Gates Foundation which focused on global health. Three years later, he and Melinda created the Gates Library Foundation, which worked to bring public access computers with Internet connections to libraries in the United States. Its name changed to the Gates Learning Foundation in 1999 to reflect its focus on ensuring that low-income minority students were prepared for college and had the means to attend. In 2000, to increase efficiency and communication, the two groups merged into the Bill & Melinda Gates Foundation. 
Bill and Melinda have donated $US28 billion of their personal fortune to the foundation, which they operate with fellow billionaire Warren Buffet (currently third on the Bloomberg list with nearly $US 60 billion). Bill and Melinda shape and approve grant-making strategies, advocate for the foundationÌâåÕs issues and help set the overall direction of the organisation. 
Bill grew up in Seattle with his two sisters. His father, William H. Gates Sr., is a co-chair of the foundation and a retired attorney. His late mother, Mary Gates, was a schoolteacher.
Bill and Melinda have three children. In 2008 Bill announced that he would not leave his fortune to his children but would instead leave it to charity."
0,POLITICIAN,LIBERAL,2009-09-03,BILL HEFFERNAN,"Some see him as tireless, astute, hard-working, an honest broker; to others he is annoying, obsessive, a trouble-maker, a loose cannon. But friends and foes alike agree that Liberal Senator Bill Heffernan is impossible to ignore, deeply committed to the interests of the bush and will not be prevented from speaking his mind. 
Regarded at times as being more trouble to his own side than to Labor, he has featured in many remarkable cameos in Australian politics: squaring up to National Party MPs on the floor of the Senate, disrupting ALP press conferences, dishing the dirt with false allegations about the sex life of a High Court judge.
Bill was born in Junee, in south-west NSW, in 1943. After attending boarding school in Sydney he returned to the family property and became a successful large-scale farmer. His political career began on the Junee Shire Council in 1984. He joined the Liberals in 1985 and was made president of the NSW Division in 1993. He entered the Senate in 1996.
Though never a minister, Bill was regarded by John Howard as a key member of the coalition government. As Parliamentary Secretary to Cabinet he wielded considerable influence and kept his Prime Minister aware of political developments in the broad electorate and non-metropolitan parts of the country.
He has a long history of committee service, is active on many parliamentary bodies concerned with regional affairs and is regarded as an expert on the key issue of water and its availability to farmers."
0,ARTIST,,2013-07-08,BILL LEAK,"While still a foetus, Bill Leak had his little pre-natal heart set on being born in a place where signs of civilization were already in abundance because he didnÌâåÕt want to have to spend the rest of his life looking for them. 
When, in 1956, his birth took place in Australia he immediately demanded to know why it couldnÌâåÕt have happened somewhere else. He eventually accepted his fate and now spends his time painting, writing, and drawing the editorial cartoons in 
.
He has won nine Walkley Awards, nineteen Stanley Awards and no Archibald Prizes.
Bill has published three collections: 
 and one novel, 
, unpulped copies of which are increasing in rarity and decreasing in value."
0,AUTHOR,,2013-06-03,BILL MCKIBBEN,"Bill McKibben is the author of a dozen books about the environment, beginning with 
 in 1989, which is regarded as the first book for a general audience on climate change. 
 called him 'the planet's best green journalist' and the 
 said in 2010 that he was 'probably the country's most important environmentalist.'
Bill grew up in suburban Lexington, Massachusetts. He was president of the 
 newspaper in college. Immediately after college he joined the 
 magazine as a staff writer, and wrote much of the ""Talk of the Town"" column from 1982 to early 1987. He quit the magazine when its long-time editor William Shawn was forced out of his job, and soon moved to the Adirondack Mountains of upstate New York.
His next book, 
, was published in 1992. It is an account of an experiment: Bill collected everything that came across the 100 channels of cable TV on the Fairfax, Virginia system (at the time among the nation's largest) for a single day. He spent a year watching the 2400 hours of videotape, and then compared it to a day spent on the mountaintop near his home. 
In March 2007, Bill published Deep Economy: the Wealth of Communities and the Durable Future. It addresses what the author sees as shortcomings of the growth economy and envisions a transition to more local-scale enterprise.
Bill is a frequent contributor to various magazines including 
, and 
. He is also a board member and contributor to 
.
Bill currently resides with his wife, writer Sue Halpern, and his daughter, Sophie, who was born in 1993, in Ripton, Vermont."
0,POLITICIAN,LABOR,2009-02-26,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribynong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services.
Bill is one of a new breed of Labor politicians who are expected to take senior leadership roles in the party through the Rudd years and beyond.
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
0,POLITICIAN,LABOR,2009-10-29,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribynong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services.
Bill is one of a new breed of Labor politicians who are expected to take senior leadership roles in the party through the Rudd years and beyond.
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
0,POLITICIAN,LABOR,2010-03-15,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribynong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. He has since also assumed responsibility for Victorian Bushfire Reconstruction.
Bill is one of a new breed of Labor politicians who are expected to take senior leadership roles in the party through the Rudd years and beyond.
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
0,POLITICIAN,LABOR,2010-06-28,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribynong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. He has since also assumed responsibility for Victorian Bushfire Reconstruction.
Bill is one of a new breed of Labor politicians who are expected to take senior leadership roles in the party in coming years.
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
0,POLITICIAN,LABOR,2010-11-08,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribynong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. He has since also assumed responsibility for Victorian Bushfire Reconstruction.
Bill is one of a new breed of Labor politicians who are expected to take senior leadership roles in the party in coming years.
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association.
After the 2010 election he was promoted to the ministry to the position of Assistant Treasurer and Minister for Financial Services and Superannuation."
0,POLITICIAN,LABOR,2011-02-28,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribynong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. He has since also assumed responsibility for Victorian Bushfire Reconstruction.
Bill is one of a new breed of Labor politicians who are expected to take senior leadership roles in the party in coming years.
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association.
After the 2010 election he was promoted to the ministry to the position of Assistant Treasurer and Minister for Financial Services and Superannuation."
0,POLITICIAN,LABOR,2011-05-16,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribynong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. He has since also assumed responsibility for Victorian Bushfire Reconstruction.
Bill is one of a new breed of Labor politicians who are expected to take senior leadership roles in the party in coming years.
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association.
After the 2010 election he was promoted to the ministry to the position of Assistant Treasurer and Minister for Financial Services and Superannuation."
0,POLITICIAN,LABOR,2011-10-10,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribynong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. After the 2010 election he was given a ministerial position as Assistant Treasurer and Minister for Financial Services and Superannuation. He was seen as significant player in the 2010 coup that saw Kevin Rudd replaced as leader by Julia Gillard.
Bill is one of a new breed of Labor politicians who are expected to take senior leadership roles in the party in coming years.
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
0,POLITICIAN,LABOR,2012-02-20,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribynong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. After the 2010 election he was given a ministerial position as Assistant Treasurer and Minister for Financial Services and Superannuation. He was seen as significant player in the 2010 coup that saw Kevin Rudd replaced as leader by Julia Gillard. 
In last yearÌâåÕs ministerial reshuffle he was promoted to Cabinet in the Employment and Workplace Relations portfolio. He is widely regarded as a future party leader and has been mentioned as a possible short-term contender should the Gillard leadership not survive.
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
0,POLITICIAN,LABOR,2012-10-15,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribynong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. After the 2010 election he was given a ministerial position as Assistant Treasurer and Minister for Financial Services and Superannuation. He was seen as significant player in the 2010 coup that saw Kevin Rudd replaced as leader by Julia Gillard. 
In last yearÌâåÕs ministerial reshuffle he was promoted to Cabinet in the Employment and Workplace Relations portfolio. He is widely regarded as a future party leader and has been mentioned as a possible short-term contender should the Gillard leadership not survive.
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
0,POLITICIAN,LABOR,2013-03-04,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribyrnong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. After the 2010 election he was given a ministerial position as Assistant Treasurer and Minister for Financial Services and Superannuation. In 2011 he was promoted to Cabinet in the Employment and Workplace Relations portfolio.
Bill was seen as a significant player in the 2010 coup that saw Kevin Rudd replaced as leader by Julia Gillard. His decision to switch his support back to Kevin Rudd three years later was regarded as a pivotal change that ensured the end of the Gillard leadership. 
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
0,POLITICIAN,LABOR,2013-07-22,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribyrnong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. After the 2010 election he was given a ministerial position as Assistant Treasurer and Minister for Financial Services and Superannuation. In 2011 he was promoted to Cabinet in the Employment and Workplace Relations portfolio.
Bill was seen as a significant player in the 2010 coup that saw Kevin Rudd replaced as leader by Julia Gillard. His decision to switch his support back to Kevin Rudd three years later was regarded as a pivotal change that ensured the end of the Gillard leadership. 
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
0,POLITICIAN,LABOR,2013-08-26,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribyrnong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. After the 2010 election he was given a ministerial position as Assistant Treasurer and Minister for Financial Services and Superannuation. In 2011 he was promoted to Cabinet in the Employment and Workplace Relations portfolio.
Bill was seen as a significant player in the 2010 coup that saw Kevin Rudd replaced as leader by Julia Gillard. His decision to switch his support back to Kevin Rudd three years later was regarded as a pivotal change that ensured the end of the Gillard leadership. 
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
0,POLITICIAN,LABOR,2013-09-30,BILL SHORTEN,"Before entering Parliament Bill Shorten was one of AustraliaÌâåÕs best-known trade union leaders. As secretary of the Australian WorkersÌâåÕ Union he was a major player in the national industrial relations debate and gained widespread prominence for his role on the scene of the Beaconsfield mine disaster in Tasmania in 2006.
As a key member of the Victorian ALPÌâåÕs right-wing Centre Unity faction for more than 20 years, Bill was always expected to pursue a career in Parliament. He was elected to the seat of Maribyrnong, covering MelbourneÌâåÕs outer northern suburbs, in the 2007 election and was promoted straight to a senior role as Parliamentary Secretary for Disabilities and ChildrenÌâåÕs Services. After the 2010 election he was given a ministerial position as Assistant Treasurer and Minister for Financial Services and Superannuation. In 2011 he was promoted to Cabinet in the Employment and Workplace Relations portfolio.
Bill was seen as a significant player in the 2010 coup that saw Kevin Rudd replaced as leader by Julia Gillard. His decision to switch his support back to Kevin Rudd three years later was regarded as a pivotal change that ensured the end of the Gillard leadership. 
Born in Melbourne in 1967, Bill graduated in arts and law from Monash University and ÌâåÐ unusually for a trade union leader ÌâåÐ completed a Masters in Business Administration from Melbourne University. Apart from his union and political activities he also served as interim CEO of the Australian Netball PlayersÌâåÕ Association and on the advisory board of the Australian CricketersÌâåÕ Association."
